,date,date_utc,open,high,low,close,volume
355,03-13-2023,1678729500,173.63,174.19,172.89,174.07,3374556
356,03-13-2023,1678730400,174.08,175.0,173.82,174.88,4926032
357,03-13-2023,1678731300,174.9,176.44,174.85,176.26,5987603
358,03-13-2023,1678732200,176.27,177.35,175.87,176.54,5589568
359,03-13-2023,1678733100,176.56,176.78,175.96,176.51,3390797
360,03-13-2023,1678734000,176.5,176.68,174.82,175.27,5059674
361,03-13-2023,1678734900,175.26,175.46,173.75,174.27,4624707
362,03-13-2023,1678735800,174.27,175.98,174.16,175.37,4900312
363,03-13-2023,1678736700,175.37,175.58,174.33,174.48,4852103
364,03-14-2023,1678800600,177.31,182.18,177.14,181.06,19100670
365,03-14-2023,1678801500,181.06,181.99,179.08,180.54,9584196
366,03-14-2023,1678802400,180.54,180.87,178.98,180.57,8150256
367,03-14-2023,1678803300,180.57,181.65,179.9,181.49,6736085
368,03-14-2023,1678804200,181.5,181.58,179.63,179.96,5540886
369,03-14-2023,1678805100,179.96,180.68,179.09,179.2,4233947
370,03-14-2023,1678806000,179.19,180.85,179.18,180.5,4159958
371,03-14-2023,1678806900,180.51,181.28,180.34,180.52,3848505
372,03-14-2023,1678807800,180.51,181.77,180.49,181.55,4179879
373,03-14-2023,1678808700,181.56,181.76,180.74,181.52,3610743
374,03-14-2023,1678809600,181.54,182.0,180.95,181.85,4478312
375,03-14-2023,1678810500,181.85,181.92,181.07,181.61,3288515
376,03-14-2023,1678811400,181.62,183.51,181.51,182.77,6727056
377,03-14-2023,1678812300,182.76,183.44,182.54,182.89,4235246
378,03-14-2023,1678813200,182.9,183.8,182.18,182.31,5322719
379,03-14-2023,1678814100,182.31,182.96,181.41,182.57,5030834
380,03-14-2023,1678815000,182.61,183.19,182.02,182.12,3689749
381,03-14-2023,1678815900,182.12,182.86,181.8,182.2,3604736
382,03-14-2023,1678816800,182.2,182.49,181.1,181.76,4190643
383,03-14-2023,1678817700,181.76,181.76,180.64,181.45,4102564
384,03-14-2023,1678818600,181.45,182.13,181.23,181.86,3177332
385,03-14-2023,1678819500,181.86,182.44,181.06,181.23,3016911
386,03-14-2023,1678820400,181.24,181.75,180.1,180.19,3958131
387,03-14-2023,1678821300,180.19,180.94,179.95,180.37,3910310
388,03-14-2023,1678822200,180.35,181.22,180.15,181.1,3365023
389,03-14-2023,1678823100,181.12,183.45,181.01,183.32,7023152
390,03-15-2023,1678887000,180.8,182.34,178.74,181.72,18538074
391,03-15-2023,1678887900,181.76,182.05,179.4,179.98,7772743
392,03-15-2023,1678888800,179.98,182.19,179.66,180.94,7432869
393,03-15-2023,1678889700,180.96,181.59,179.94,180.24,5549199
394,03-15-2023,1678890600,180.17,180.64,178.58,178.96,6553678
395,03-15-2023,1678891500,178.99,179.58,177.8,179.48,6489478
396,03-15-2023,1678892400,179.46,180.28,178.52,180.1,5450319
397,03-15-2023,1678893300,180.11,180.56,179.49,179.58,4676902
398,03-15-2023,1678894200,179.57,179.92,178.33,179.45,5288972
399,03-15-2023,1678895100,179.45,180.57,179.33,179.53,4499122
400,03-15-2023,1678896000,179.55,179.98,178.47,178.66,3746239
401,03-15-2023,1678896900,178.65,179.12,177.96,178.56,3999123
402,03-15-2023,1678897800,178.52,178.65,177.28,177.82,3908200
403,03-15-2023,1678898700,177.8,178.05,176.58,176.65,4498587
404,03-15-2023,1678899600,176.64,177.89,176.03,177.7,4890418
405,03-15-2023,1678900500,177.71,178.82,177.52,178.45,4477633
406,03-15-2023,1678901400,178.42,178.45,177.03,177.38,3614325
407,03-15-2023,1678902300,177.39,178.16,176.86,177.92,3505017
408,03-15-2023,1678903200,177.93,178.04,176.92,176.96,2955522
409,03-15-2023,1678904100,176.96,179.22,176.45,179.04,5314979
410,03-15-2023,1678905000,179.06,179.45,178.58,178.97,4636577
411,03-15-2023,1678905900,179.0,180.09,178.18,179.93,4731114
412,03-15-2023,1678906800,179.94,180.68,179.31,179.57,5277803
413,03-15-2023,1678907700,179.55,180.54,179.15,180.51,3910857
414,03-15-2023,1678908600,180.5,180.88,179.38,180.07,4439928
415,03-15-2023,1678909500,180.08,180.58,178.75,180.55,5557780
416,03-16-2023,1678973400,180.37,181.35,178.84,180.15,10111966
